task_id,project_id,sprint_id,task_title,task_type,priority_moscow,assignee_role,experience_years,team_size,sprint_length_days,story_points,estimated_hours,actual_hours,dependencies_count,blockers_count,requirement_changes,communication_volume,sentiment_score,ai_suggestion_used,ai_acceptance_rate,override_requested,status,task_success,success_probability
7226,308,17,Remove database query,Feature,Should,Designer,3.6,4,10,3,6.4,7.6,1,3,0,22,1.0,1,0.49,0,Blocked,1,0.572
7227,8,29,Create caching layer,Bug,Won't,QA,2.5,6,10,8,24.3,23.7,2,1,0,14,0.13,1,1.0,0,Done,1,0.739
7228,446,36,Update caching layer,Bug,Must,Developer,0.4,4,10,1,6.0,7.5,1,0,1,23,0.4,0,0.17,0,Done,1,0.729
7229,459,7,Refactor API endpoint,Chore,Must,Developer,2.1,7,14,3,2.8,1.4,2,0,0,11,0.01,0,0.19,0,Done,1,0.842
7230,302,23,Implement documentation,Chore,Must,Developer,3.5,4,14,1,4.1,4.8,3,2,0,0,0.06,0,0.37,1,Done,1,0.525
7231,288,32,Remove database query,Chore,Must,Developer,4.1,6,14,2,6.1,7.2,0,2,1,18,-0.07,1,0.6,0,Done,1,0.649
7232,348,14,Update deployment script,Bug,Must,Developer,3.5,5,14,2,7.1,7.8,0,1,1,14,0.41,0,0.46,1,Done,1,0.695
7233,221,14,Optimize login flow,Feature,Must,QA,4.1,4,10,3,12.7,12.7,0,0,1,31,-0.93,1,0.6,0,Done,1,0.791
7234,183,1,Remove error handling,Refactor,Must,Developer,3.1,10,10,5,13.7,11.7,0,0,0,18,1.0,0,0.51,1,Done,1,0.822
7235,177,13,Fix permission check,Documentation,Must,Developer,3.7,11,14,3,9.8,9.2,0,1,1,21,-0.75,0,0.36,0,Done,1,0.743
7236,80,24,Improve documentation,Feature,Should,PM,1.0,9,7,8,23.2,22.3,0,0,0,2,0.58,1,0.88,0,Done,1,0.834
7237,421,39,Update error handling,Feature,Should,DevOps,4.7,5,10,2,9.9,14.2,1,1,1,29,1.0,1,1.0,1,Done,1,0.633
7238,161,22,Add permission check,Feature,Must,Developer,0.0,10,7,8,23.5,30.1,1,0,0,37,-0.63,1,0.67,0,Done,1,0.721
7239,143,12,Fix UI component,Refactor,Should,Developer,3.1,7,10,5,16.0,18.1,2,0,0,7,0.3,0,0.01,1,In Progress,0,0.707
7240,483,33,Improve database query,Bug,Should,Developer,1.2,6,14,1,1.9,2.3,2,1,0,24,0.91,0,0.37,1,To Do,0,0.637
7241,254,8,Update deployment script,Feature,Must,Developer,7.2,10,10,8,24.1,38.2,1,2,1,16,-0.24,0,0.19,0,Done,1,0.524
7242,311,8,Update UI component,Feature,Must,QA,3.8,9,10,8,25.3,24.7,0,0,0,4,0.16,1,0.62,0,Done,1,0.831
7243,123,21,Fix deployment script,Refactor,Should,Developer,3.2,4,14,3,8.6,10.4,2,1,1,30,-0.48,1,0.67,0,Done,1,0.65
7244,139,33,Refactor error handling,Bug,Could,Developer,0.9,6,10,3,6.9,9.2,1,2,0,8,0.28,0,0.03,0,In Progress,0,0.571
7245,365,9,Add permission check,Feature,Must,Designer,6.9,10,21,3,6.8,10.7,2,2,1,15,-1.0,1,0.81,0,Done,1,0.518
7246,226,1,Fix error handling,Refactor,Should,Developer,0.0,6,7,2,10.5,15.5,1,0,2,16,-0.04,1,0.49,0,In Progress,0,0.662
7247,74,29,Add login flow,Feature,Must,Developer,4.0,11,14,5,14.4,15.3,1,0,0,25,0.01,1,0.91,0,Done,1,0.812
7248,418,24,Fix deployment script,Feature,Could,PM,2.2,8,14,3,13.2,15.6,2,0,1,4,0.36,1,0.75,0,In Progress,0,0.749
7249,202,28,Create API endpoint,Feature,Should,Developer,2.7,8,14,1,4.1,3.2,0,0,0,16,-0.11,1,1.0,0,Done,1,0.859
7250,335,16,Improve deployment script,Feature,Should,Developer,0.3,9,14,8,26.0,47.9,2,2,0,21,1.0,0,0.8,0,In Progress,0,0.482
7251,171,5,Refactor database query,Feature,Should,DevOps,4.8,6,14,2,4.7,5.4,1,0,2,30,0.68,1,0.86,0,In Progress,0,0.774
7252,281,14,Create test suite,Feature,Could,Developer,5.4,12,14,2,8.7,14.3,1,5,0,23,-0.34,1,0.91,0,Blocked,1,0.308
7253,388,19,Update caching layer,Feature,Should,QA,4.3,7,14,5,17.0,14.2,0,0,1,15,-0.07,0,0.03,0,To Do,0,0.822
7254,443,18,Improve login flow,Refactor,Should,Developer,2.3,3,10,3,13.4,16.0,1,2,0,21,0.75,1,0.56,0,Done,1,0.644
7255,104,36,Implement permission check,Chore,Should,Designer,2.8,7,10,8,22.2,30.7,2,1,2,21,0.77,1,1.0,0,To Do,0,0.633
7256,337,9,Optimize UI component,Feature,Must,Developer,0.0,3,7,2,7.0,10.5,3,1,0,14,-0.2,1,0.62,0,Done,1,0.567
7257,458,13,Add database query,Refactor,Could,Developer,6.0,7,14,5,19.3,14.8,1,1,0,17,0.01,1,0.67,0,Done,1,0.8
7258,322,8,Remove caching layer,Feature,Should,Developer,4.7,3,14,1,1.2,1.1,1,0,0,31,0.51,1,0.68,1,In Progress,0,0.796
7259,72,23,Investigate API endpoint,Spike,Must,Developer,4.9,4,7,13,37.1,70.7,2,2,1,19,0.55,1,1.0,1,In Progress,0,0.406
7260,95,33,Improve database query,Feature,Could,Designer,5.3,4,14,1,4.6,6.9,3,1,0,8,0.32,0,0.31,0,In Progress,0,0.607
7261,102,36,Remove login flow,Feature,Should,Developer,1.3,4,14,2,5.7,7.0,0,1,0,27,0.3,1,0.68,0,To Do,0,0.729
7262,54,10,Create database query,Bug,Must,Developer,5.7,6,21,1,3.7,3.6,1,0,1,20,-0.8,0,0.15,0,Blocked,0,0.786
7263,377,18,Update UI component,Feature,Should,Developer,0.8,7,14,2,4.0,5.4,2,1,0,11,0.63,0,0.11,1,Done,1,0.587
7264,483,30,Refactor test suite,Feature,Won't,Developer,0.0,6,14,13,39.2,35.9,1,0,0,16,0.2,0,0.17,1,In Progress,0,0.761
7265,259,2,Update permission check,Feature,Could,Developer,0.6,9,14,3,11.4,12.0,0,0,0,23,0.19,1,0.66,0,In Progress,0,0.814
7266,300,29,Fix login flow,Refactor,Must,Developer,5.7,4,14,3,9.0,8.5,1,0,1,23,0.74,1,0.66,1,Done,1,0.789
7267,387,6,Fix database query,Feature,Could,Developer,2.7,3,14,8,27.0,41.5,1,1,2,19,0.57,1,0.95,0,Done,1,0.626
7268,208,2,Update API endpoint,Feature,Should,Developer,2.2,4,10,1,1.0,1.5,2,1,0,22,0.75,1,0.48,0,Done,1,0.629
7269,237,5,Remove login flow,Chore,Should,QA,4.7,8,14,8,25.3,22.2,2,1,0,39,0.1,0,0.07,0,In Progress,0,0.721
7270,295,36,Fix test suite,Feature,Should,QA,3.0,9,14,13,40.0,65.8,2,2,0,37,0.59,0,0.01,0,In Progress,0,0.479
7271,153,28,Add caching layer,Feature,Must,Developer,7.2,9,14,3,9.0,13.8,1,2,2,0,-0.35,1,0.45,0,Blocked,0,0.525
7272,31,32,Update documentation,Bug,Must,Developer,2.1,6,7,2,10.5,9.9,0,0,0,12,-1.0,0,0.01,0,Done,1,0.793
7273,284,28,Remove error handling,Feature,Should,Developer,2.2,7,14,5,15.4,14.2,0,1,0,25,0.35,0,0.23,1,In Progress,0,0.732
7274,412,32,Investigate caching layer,Chore,Must,Developer,3.7,5,21,5,13.8,8.2,0,0,0,22,0.73,0,0.35,0,Done,1,0.881
7275,37,20,Update API endpoint,Feature,Should,Developer,3.6,6,14,3,10.0,11.4,1,2,0,29,-0.44,1,0.6,0,In Progress,0,0.636
7276,109,33,Refactor permission check,Feature,Could,QA,2.6,3,7,8,20.2,27.2,1,0,1,16,-0.78,1,0.71,0,Done,1,0.715
7277,132,3,Remove API endpoint,Chore,Could,Developer,8.6,11,10,2,4.9,5.2,2,1,0,16,0.16,1,0.85,0,In Progress,0,0.749
7278,403,24,Refactor caching layer,Chore,Must,Developer,3.1,5,21,1,1.0,0.9,1,0,1,9,0.2,1,0.9,0,Done,1,0.823
7279,253,31,Create permission check,Refactor,Could,Developer,1.5,12,14,5,9.8,16.9,4,0,1,24,0.08,0,0.0,0,In Progress,0,0.546
7280,268,40,Optimize API endpoint,Feature,Should,Designer,3.4,9,21,3,7.3,14.5,3,2,0,19,0.18,1,0.76,0,Done,1,0.426
7281,323,15,Fix error handling,Bug,Must,Developer,0.0,8,14,1,4.4,5.6,1,0,1,33,1.0,0,0.34,0,Done,1,0.735
7282,139,8,Create test suite,Documentation,Could,Developer,1.6,12,14,2,6.0,5.4,2,1,0,13,-0.69,0,0.21,0,In Progress,0,0.707
7283,357,29,Create deployment script,Bug,Must,Developer,3.0,9,14,5,18.1,16.2,0,0,1,35,0.92,1,0.31,0,Done,1,0.822
7284,16,3,Add database query,Documentation,Should,PM,3.3,12,7,5,13.8,11.8,2,1,0,32,0.21,1,0.47,0,Done,1,0.736
7285,57,32,Remove test suite,Refactor,Should,Developer,0.0,11,14,5,12.8,10.8,1,0,0,17,0.03,1,0.88,0,Done,1,0.826
7286,408,29,Improve deployment script,Chore,Should,Developer,1.8,6,14,3,9.6,8.1,0,0,0,12,0.02,1,0.91,0,Done,1,0.849
7287,330,28,Investigate documentation,Feature,Could,DevOps,2.7,3,21,5,17.1,29.9,1,0,2,21,0.18,0,0.32,0,In Progress,0,0.636
7288,89,12,Remove error handling,Spike,Could,Developer,4.4,5,10,5,15.7,25.3,3,0,0,9,0.0,1,0.64,1,Done,1,0.61
7289,220,5,Create login flow,Chore,Should,Developer,4.3,11,10,1,2.7,1.5,0,0,1,22,-0.78,1,0.89,0,Done,1,0.863
7290,26,25,Fix permission check,Chore,Should,PM,2.4,10,10,5,16.8,17.5,1,3,0,19,0.18,1,0.95,0,Blocked,1,0.597
7291,336,15,Remove error handling,Documentation,Should,Developer,4.6,5,14,2,5.4,4.1,1,0,0,9,-0.35,0,0.08,0,Done,1,0.827
7292,378,16,Investigate test suite,Chore,Should,Developer,4.8,4,14,5,17.0,14.1,1,1,0,14,0.58,1,0.64,1,Done,1,0.756
7293,140,8,Fix test suite,Bug,Should,PM,3.2,9,14,5,13.0,9.7,0,1,0,20,-0.49,1,0.54,0,In Progress,0,0.799
7294,176,14,Optimize test suite,Refactor,Must,Designer,3.0,4,14,8,23.5,29.3,0,0,1,14,-0.33,0,0.07,0,Done,1,0.751
7295,119,34,Refactor deployment script,Chore,Should,Developer,2.6,3,10,2,5.4,4.3,0,1,0,27,0.55,0,0.13,0,Done,1,0.789
7296,195,36,Update permission check,Chore,Should,DevOps,0.0,8,14,3,12.9,9.9,1,1,0,5,0.08,0,0.26,0,To Do,0,0.763
7297,137,14,Add deployment script,Bug,Could,Developer,2.7,4,14,1,4.3,4.1,0,1,0,17,0.37,0,0.35,0,Done,1,0.774
7298,124,6,Refactor error handling,Bug,Must,Developer,4.2,7,10,2,1.0,0.9,1,1,1,16,-0.25,1,0.76,0,Blocked,0,0.748
7299,216,2,Add UI component,Spike,Should,QA,6.3,5,10,5,19.4,27.2,0,2,1,15,0.47,1,0.68,0,Done,1,0.626
7300,430,8,Implement deployment script,Feature,Could,Developer,3.0,10,10,2,8.2,11.5,1,0,1,20,1.0,0,0.15,0,Done,1,0.725
7301,382,1,Add permission check,Refactor,Should,PM,4.0,5,14,8,27.7,37.6,0,2,0,20,0.97,1,0.98,0,Done,1,0.674
7302,149,27,Implement database query,Bug,Must,Developer,5.4,3,14,3,11.7,13.8,2,2,0,27,0.92,0,0.0,0,In Progress,0,0.619
7303,472,26,Create deployment script,Chore,Could,Developer,2.8,5,14,3,6.8,5.8,2,0,0,28,-0.69,1,0.79,0,In Progress,0,0.801
7304,106,32,Refactor caching layer,Feature,Must,Developer,1.4,11,10,8,22.3,29.2,2,0,1,29,-0.14,1,0.55,0,Done,1,0.696
7305,456,14,Fix deployment script,Bug,Should,QA,2.2,6,14,8,21.4,31.2,2,3,0,19,-0.75,1,1.0,1,Blocked,1,0.404
7306,155,34,Improve login flow,Feature,Should,Developer,3.3,5,14,1,3.4,3.6,2,1,1,15,1.0,1,0.57,0,Done,1,0.714
7307,271,7,Remove database query,Refactor,Could,QA,2.3,11,14,13,34.5,44.9,2,0,1,7,0.67,0,0.28,0,Done,1,0.718
7308,102,10,Remove UI component,Chore,Could,QA,0.7,9,7,8,24.9,30.3,3,0,1,15,0.11,1,0.59,0,Done,1,0.693
7309,382,37,Improve permission check,Refactor,Could,Developer,4.3,7,14,3,9.3,10.8,1,2,1,18,0.21,1,0.7,0,Done,1,0.637
7310,159,36,Add permission check,Bug,Should,Developer,4.5,9,10,1,1.1,1.3,0,3,0,13,-0.22,0,0.3,0,Blocked,1,0.57
7311,437,24,Create permission check,Feature,Must,Developer,2.6,5,10,2,10.7,13.8,1,2,0,31,0.18,1,0.81,0,In Progress,0,0.614
7312,42,25,Create UI component,Refactor,Must,Developer,4.4,4,14,1,5.1,7.3,1,2,0,21,-0.01,0,0.23,0,To Do,0,0.578
7313,252,29,Refactor database query,Spike,Must,Developer,5.7,8,10,1,1.0,1.0,1,1,0,24,0.48,1,0.67,0,In Progress,0,0.767
7314,80,33,Implement error handling,Refactor,Should,Developer,2.0,6,14,3,10.8,11.8,1,0,1,29,0.49,0,0.29,1,Done,1,0.726
7315,445,10,Optimize permission check,Feature,Should,DevOps,3.0,7,14,1,2.1,2.3,2,0,0,13,0.45,1,0.85,1,Done,1,0.75
7316,209,3,Remove test suite,Bug,Must,DevOps,4.2,8,14,3,8.6,3.5,0,0,0,0,-0.47,1,0.7,0,Done,1,0.89
7317,338,8,Add documentation,Refactor,Could,QA,6.0,7,10,5,17.4,22.0,1,2,1,4,-0.3,0,0.38,1,Done,1,0.541
7318,440,15,Refactor login flow,Bug,Must,Developer,3.5,11,10,2,6.0,5.6,1,1,0,21,0.75,0,0.18,0,Done,1,0.757
7319,268,10,Investigate error handling,Bug,Must,Developer,3.7,11,14,2,5.2,5.0,0,0,0,16,-0.03,1,0.72,0,Done,1,0.836
7320,29,21,Implement API endpoint,Spike,Could,Developer,6.0,3,21,3,6.1,3.7,1,0,0,25,-0.29,1,0.66,1,In Progress,0,0.841
7321,111,6,Update API endpoint,Spike,Should,PM,4.1,6,14,13,39.2,42.3,0,0,1,19,-0.24,1,0.93,1,Done,1,0.773
7322,107,24,Add UI component,Feature,Must,Developer,8.5,6,10,5,13.8,20.5,2,2,1,18,0.54,0,0.24,0,Done,1,0.546
7323,458,29,Improve caching layer,Bug,Could,QA,5.6,6,14,3,10.4,10.6,2,0,1,11,0.38,1,0.65,0,Blocked,0,0.788
7324,455,4,Create documentation,Refactor,Must,Developer,3.5,5,14,2,7.0,7.8,0,0,0,20,-0.71,1,0.73,0,Done,1,0.805
7325,239,12,Add UI component,Chore,Must,Developer,2.5,8,7,3,14.6,21.6,1,3,1,11,0.31,0,0.05,0,Blocked,0,0.435
7326,446,22,Remove database query,Feature,Could,QA,2.3,3,14,1,1.0,1.7,2,1,1,22,0.49,1,0.46,1,In Progress,0,0.506
7327,124,3,Improve caching layer,Feature,Should,Developer,5.6,11,14,5,13.2,12.7,1,0,0,19,-0.64,0,0.25,0,Done,1,0.803
7328,340,27,Create test suite,Bug,Should,QA,5.3,8,14,2,7.4,4.6,3,0,0,14,-0.7,1,0.8,0,Done,1,0.826
7329,196,31,Update UI component,Bug,Must,DevOps,3.4,6,14,1,1.0,1.0,3,0,0,14,-0.28,0,0.0,0,In Progress,0,0.745
7330,121,15,Fix caching layer,Feature,Must,Developer,2.7,9,14,5,12.7,10.9,1,0,0,9,0.38,1,0.82,0,In Progress,0,0.837
7331,126,1,Refactor test suite,Documentation,Should,Designer,2.2,4,21,3,6.1,6.1,4,1,1,17,0.48,0,0.24,1,Done,1,0.6
7332,210,21,Create deployment script,Feature,Won't,Developer,5.8,12,14,5,19.1,19.1,0,0,2,13,0.11,0,0.0,0,Done,1,0.791
7333,170,35,Fix caching layer,Feature,Should,Developer,4.2,9,14,2,4.8,8.4,1,3,0,11,0.09,0,0.51,1,Blocked,0,0.381
7334,106,12,Add deployment script,Feature,Must,Designer,5.1,10,14,3,8.9,6.7,1,0,0,26,-0.09,1,0.67,0,Done,1,0.847
7335,168,34,Refactor database query,Feature,Won't,QA,3.5,10,14,1,1.0,1.1,0,0,1,12,-0.05,1,0.78,0,Done,1,0.803
7336,65,35,Optimize login flow,Feature,Won't,Developer,1.1,8,14,3,10.7,12.1,2,0,0,17,-0.63,1,0.91,0,Done,1,0.758
7337,485,12,Optimize test suite,Bug,Must,Developer,0.0,5,21,5,16.0,17.0,1,1,0,26,0.19,1,0.79,0,In Progress,0,0.738
7338,190,24,Add API endpoint,Feature,Must,Developer,0.1,6,14,8,25.1,32.7,0,1,0,11,-0.27,0,0.7,0,Done,1,0.701
7339,54,2,Refactor permission check,Bug,Must,QA,1.9,9,21,13,37.6,37.1,1,0,0,9,-1.0,0,0.42,0,Done,1,0.79
7340,288,23,Investigate API endpoint,Bug,Should,Developer,1.2,9,14,3,9.5,10.3,1,0,0,13,0.29,0,0.05,0,To Do,0,0.776
7341,442,36,Refactor permission check,Bug,Must,Developer,2.7,9,21,1,3.3,4.2,0,2,0,20,-0.27,1,0.88,0,Done,1,0.66
7342,180,38,Optimize login flow,Documentation,Could,Developer,2.7,9,14,5,15.1,5.1,0,0,0,16,-0.42,1,0.66,1,Done,1,0.869
7343,423,8,Update test suite,Documentation,Must,Developer,2.2,5,14,5,17.4,10.1,1,0,0,16,-0.61,0,0.14,0,Done,1,0.839
7344,306,27,Remove UI component,Bug,Should,Developer,0.0,9,10,2,5.5,4.5,0,0,0,7,0.39,1,1.0,0,Done,1,0.85
7345,370,3,Update test suite,Feature,Must,DevOps,4.2,3,14,2,7.4,8.7,0,0,1,23,-0.45,0,0.22,0,In Progress,0,0.771
7346,149,12,Remove documentation,Refactor,Should,QA,2.7,12,14,8,22.1,32.2,3,2,0,4,0.66,1,0.59,1,In Progress,0,0.48
7347,19,34,Investigate permission check,Feature,Should,Developer,4.0,8,10,3,10.3,19.0,4,1,1,6,0.17,1,0.55,0,In Progress,0,0.469
7348,173,26,Optimize login flow,Chore,Won't,QA,1.6,4,10,2,3.8,3.8,1,0,2,14,0.53,0,0.36,0,Done,1,0.767
7349,463,16,Remove deployment script,Refactor,Must,PM,0.9,5,14,8,33.1,44.9,2,0,2,34,-0.03,1,0.56,0,Done,1,0.663
7350,396,39,Create API endpoint,Feature,Could,DevOps,4.0,11,21,2,7.9,8.8,1,0,1,6,-0.45,0,0.46,0,Done,1,0.773
7351,393,31,Optimize permission check,Bug,Should,Developer,0.0,12,14,1,1.0,1.0,0,1,0,26,0.83,0,0.11,0,Done,1,0.754
7352,440,1,Implement error handling,Spike,Could,QA,4.1,9,10,2,6.0,7.8,0,1,0,6,0.41,1,0.73,0,Done,1,0.732
7353,187,4,Optimize caching layer,Bug,Should,Developer,2.6,8,10,5,14.9,15.7,3,0,1,9,1.0,1,0.91,0,Blocked,0,0.764
7354,162,26,Add UI component,Refactor,Must,DevOps,2.2,5,14,5,15.4,13.8,2,0,0,25,-0.13,1,0.67,0,Done,1,0.8
7355,463,36,Fix database query,Refactor,Must,Developer,1.4,7,14,1,1.0,1.1,1,1,0,26,1.0,0,0.0,0,In Progress,0,0.719
7356,286,7,Remove UI component,Bug,Should,Developer,0.1,9,10,2,1.0,1.2,2,0,0,37,-1.0,0,0.11,0,In Progress,0,0.686
7357,149,22,Fix caching layer,Feature,Could,Developer,3.9,12,14,1,7.0,12.3,1,2,1,24,0.33,1,0.73,1,To Do,0,0.453
7358,140,33,Investigate API endpoint,Bug,Should,Developer,5.2,11,14,2,5.9,6.8,3,2,0,26,0.78,1,0.73,0,Done,1,0.625
7359,439,35,Improve UI component,Feature,Must,Developer,3.0,7,14,2,8.0,13.0,1,1,1,32,0.33,0,0.28,0,Done,1,0.588
7360,27,26,Fix database query,Bug,Must,DevOps,6.7,4,14,5,12.0,4.6,0,0,1,10,0.33,1,0.72,0,Done,1,0.896
7361,31,40,Create API endpoint,Feature,Should,Developer,6.0,5,14,8,26.0,36.3,4,1,0,16,0.76,1,1.0,0,Done,1,0.644
7362,369,38,Implement documentation,Spike,Should,Designer,4.7,10,14,8,23.9,27.9,0,0,1,17,0.33,1,0.52,0,To Do,0,0.797
7363,1,34,Improve database query,Chore,Should,Developer,1.0,3,21,3,8.8,11.2,0,1,1,11,-0.18,1,0.62,0,Done,1,0.697
7364,86,27,Create caching layer,Feature,Must,Developer,0.2,9,7,1,1.0,1.4,5,0,0,18,-0.21,0,0.19,0,Done,1,0.597
7365,496,40,Create database query,Chore,Should,PM,2.5,12,14,1,3.0,2.8,0,0,1,18,-0.28,0,0.0,0,Done,1,0.797
7366,213,1,Fix caching layer,Refactor,Could,QA,4.2,8,7,3,11.1,18.6,1,4,0,18,0.11,0,0.32,1,Blocked,0,0.302
7367,364,4,Investigate database query,Refactor,Should,Developer,5.7,4,7,3,8.9,15.7,3,2,2,5,-0.36,0,0.28,0,Blocked,0,0.388
7368,244,21,Update caching layer,Feature,Must,Developer,4.2,4,10,1,7.7,8.2,0,1,0,10,-0.05,0,0.36,0,Done,1,0.752
7369,46,27,Refactor deployment script,Bug,Must,Developer,5.6,6,7,1,4.3,3.3,3,0,0,30,0.93,1,0.97,0,Done,1,0.827
7370,93,37,Fix error handling,Bug,Must,Developer,3.0,10,21,1,7.5,7.1,1,0,0,11,-0.02,1,0.77,0,Done,1,0.825
7371,381,28,Update documentation,Feature,Should,PM,3.3,9,10,5,13.2,20.8,4,0,1,25,0.82,0,0.51,0,Done,1,0.625
7372,48,10,Improve test suite,Bug,Must,QA,4.0,11,14,2,3.1,3.7,1,1,1,14,-0.11,0,0.09,1,To Do,0,0.626
7373,298,37,Refactor database query,Feature,Must,Developer,4.7,3,14,8,22.7,17.9,0,0,0,6,-0.39,1,0.56,0,Done,1,0.851
7374,175,4,Remove error handling,Spike,Could,DevOps,3.0,3,14,8,22.1,33.3,1,0,1,13,0.54,1,0.85,1,Done,1,0.681
7375,186,4,Optimize error handling,Documentation,Could,Developer,2.5,5,21,2,4.8,2.5,1,1,0,17,0.34,1,0.75,0,Done,1,0.832
7376,477,29,Add error handling,Feature,Could,QA,4.6,9,14,5,15.6,21.9,0,2,1,31,-0.31,0,0.24,0,In Progress,0,0.575
7377,303,39,Create documentation,Feature,Should,Developer,3.5,8,14,2,6.9,10.6,3,2,0,40,0.13,1,0.43,0,In Progress,0,0.48
7378,308,21,Create caching layer,Feature,Must,Developer,5.5,3,14,5,13.5,12.8,0,0,0,27,-0.65,1,0.45,0,Done,1,0.826
7379,176,6,Optimize documentation,Spike,Must,QA,6.9,7,10,2,6.5,7.5,2,0,1,40,0.72,0,0.44,1,Done,1,0.708
7380,191,2,Implement database query,Feature,Must,Developer,4.6,3,10,3,6.4,3.5,0,0,0,15,-0.14,0,0.25,0,Blocked,0,0.871
7381,343,40,Investigate caching layer,Chore,Must,Developer,2.6,12,14,8,23.5,21.7,1,0,1,13,0.38,1,0.89,0,Done,1,0.815
7382,20,12,Add UI component,Chore,Could,Developer,6.4,3,14,5,13.6,10.9,1,1,0,19,0.09,0,0.15,0,Done,1,0.782
7383,119,26,Implement test suite,Feature,Could,Developer,3.7,4,14,1,1.2,1.4,2,0,0,13,-1.0,0,0.26,0,Done,1,0.735
7384,301,14,Investigate login flow,Chore,Should,Designer,3.0,9,10,1,5.0,5.3,1,2,0,18,-0.63,1,0.5,0,Done,1,0.641
7385,312,9,Fix deployment script,Bug,Must,Developer,1.5,10,7,13,38.0,34.8,1,0,0,10,1.0,1,0.58,0,Done,1,0.823
7386,47,27,Refactor database query,Feature,Should,QA,4.4,12,14,3,9.9,14.9,0,2,2,19,-1.0,1,0.59,1,In Progress,0,0.479
7387,394,30,Create database query,Spike,Should,QA,2.5,10,14,2,4.1,6.6,1,1,1,0,0.41,0,0.45,0,Done,1,0.608
7388,272,19,Update database query,Bug,Should,Developer,0.2,4,14,3,9.2,11.4,1,1,0,18,-0.68,0,0.17,0,Done,1,0.658
7389,119,21,Optimize documentation,Feature,Could,Developer,3.9,3,14,3,10.2,16.3,3,0,1,11,0.23,0,0.38,0,Done,1,0.637
7390,376,20,Add login flow,Refactor,Must,Developer,4.0,9,14,5,17.6,11.0,1,0,0,0,-1.0,1,0.87,0,Done,1,0.852
7391,496,24,Refactor test suite,Refactor,Must,Developer,3.1,5,14,3,7.8,7.4,3,2,0,21,0.63,1,0.74,0,Done,1,0.653
7392,212,33,Optimize test suite,Refactor,Must,Developer,5.4,5,14,5,12.2,13.2,2,1,1,25,0.93,1,0.77,1,In Progress,0,0.68
7393,142,29,Remove database query,Feature,Must,Developer,2.8,5,10,8,23.9,32.3,3,1,0,15,0.47,1,1.0,0,Done,1,0.651
7394,150,12,Optimize permission check,Refactor,Should,Developer,3.8,7,10,3,5.2,4.4,1,1,0,17,0.55,1,0.82,0,Done,1,0.789
7395,297,10,Update API endpoint,Feature,Could,Developer,0.0,5,14,5,16.7,20.5,2,0,1,20,-0.23,0,0.15,0,Done,1,0.697
7396,24,27,Add UI component,Bug,Must,Developer,1.3,7,10,3,8.6,8.7,0,1,0,24,-0.41,0,0.47,0,Done,1,0.744
7397,242,26,Create UI component,Feature,Should,Developer,1.4,9,10,8,20.7,20.0,0,0,0,31,-0.26,1,0.64,0,Done,1,0.813
7398,13,15,Implement UI component,Refactor,Must,Designer,3.4,7,14,3,7.7,9.3,2,1,0,10,-0.05,0,0.55,1,Done,1,0.635
7399,20,34,Refactor caching layer,Chore,Could,Designer,0.0,4,7,2,8.1,11.1,1,1,2,32,0.92,0,0.22,0,To Do,0,0.604
7400,216,17,Improve database query,Feature,Should,Developer,4.5,5,7,8,21.4,34.0,1,2,0,3,0.31,0,0.0,0,In Progress,0,0.532
7401,373,14,Fix API endpoint,Feature,Must,Developer,4.8,6,14,3,10.6,13.1,0,1,0,27,-0.17,0,0.27,0,Done,1,0.721
7402,442,23,Add database query,Chore,Must,Developer,1.0,11,7,5,19.0,23.5,0,2,2,15,-0.48,1,0.3,0,Done,1,0.563
7403,44,8,Remove database query,Feature,Could,Designer,3.1,12,14,5,17.6,40.3,4,2,3,25,1.0,1,1.0,0,In Progress,0,0.287
7404,123,28,Optimize UI component,Feature,Should,DevOps,4.3,4,7,5,16.0,23.8,1,1,1,20,0.73,0,0.19,0,Done,1,0.632
7405,211,36,Refactor documentation,Bug,Must,Developer,0.5,11,14,1,2.9,3.3,3,1,0,20,0.65,0,0.4,0,To Do,0,0.666
7406,288,38,Create deployment script,Bug,Must,Developer,1.9,4,14,3,7.0,8.7,0,0,1,18,0.15,0,0.47,0,In Progress,0,0.769
7407,494,18,Add login flow,Feature,Must,Developer,0.2,11,14,13,41.3,62.8,1,1,1,21,0.65,1,0.29,0,Done,1,0.612
7408,343,11,Implement login flow,Chore,Should,PM,5.1,9,14,3,10.6,9.4,2,0,0,10,0.99,0,0.22,0,Done,1,0.818
7409,270,20,Fix database query,Feature,Must,DevOps,5.9,12,21,1,7.2,9.3,1,1,2,8,0.77,0,0.08,0,Done,1,0.672
7410,31,5,Improve permission check,Chore,Should,QA,5.2,6,14,2,6.8,2.4,0,0,0,26,-0.39,1,0.56,0,Done,1,0.895
7411,41,27,Investigate UI component,Chore,Must,Developer,4.9,7,21,1,3.4,3.2,3,0,0,13,-0.23,0,0.28,0,Done,1,0.778
7412,77,18,Implement documentation,Feature,Should,Developer,2.9,12,10,3,11.9,6.3,0,0,0,14,0.1,1,0.98,0,To Do,0,0.884
7413,331,5,Remove documentation,Chore,Should,Developer,3.2,3,10,1,5.8,8.4,2,2,2,8,-0.17,1,0.6,0,Blocked,0,0.495
7414,166,22,Investigate login flow,Refactor,Could,Developer,1.1,8,10,8,19.1,26.8,0,1,0,0,0.42,1,0.91,1,To Do,0,0.658
